Point_Number,X_GaussKruger,Y_GaussKruger
1,4385144.57,4628411
2,4385144.57,4628323.03
3,4385104.17,4628235.06
4,4385104.17,4628147.09
5,4385104.17,4628059.11
6,4385063.77,4627971.14
7,4385063.77,4627883.17
8,4385063.77,4627795.2
9,4385023.37,4627707.23
10,4385023.37,4627619.26
11,4385023.37,4627531.29
12,4385023.37,4627443.31
13,4384982.97,4627355.34
14,4384982.97,4627267.37
15,4384982.97,4627179.4
16,4384942.57,4627091.43
17,4384902.17,4627003.46
18,4384861.77,4626915.49
19,4384861.77,4626827.52
20,4384821.37,4626739.54
21,4384821.37,4626651.57
22,4384821.37,4626563.6
23,4384821.37,4626475.63
24,4384780.97,4626387.66
25,4384740.57,4626387.66
26,4384700.17,4626299.69
27,4384659.77,4626299.69
28,4384619.37,4626211.72
29,4384578.97,4626211.72
30,4384538.57,4626211.72
31,4384498.17,4626211.72
32,4384457.77,4626123.74
33,4384417.37,4626123.74
34,4384376.97,4626123.74
35,4384336.58,4626123.74
36,4384296.18,4626123.74
37,4384255.78,4626123.74
38,4384215.38,4626123.74
39,4384174.98,4626123.74
40,4384134.58,4626123.74
41,4384094.18,4626123.74
42,4384053.78,4626123.74
43,4384013.38,4626123.74
44,4383972.98,4626211.72
45,4383932.58,4626123.74
46,4383892.18,4626123.74
47,4383851.78,4626211.72
48,4383811.38,4626211.72
49,4383770.98,4626211.72
50,4383730.58,4626211.72
51,4383690.18,4626211.72
52,4383649.78,4626211.72
53,4383609.38,4626211.72
54,4383568.98,4626211.72
55,4383528.58,4626211.72
56,4383488.18,4626211.72
57,4383447.78,4626211.72
58,4383407.38,4626211.72
59,4383366.98,4626211.72
60,4383326.58,4626211.72
61,4383286.19,4626211.72
62,4383245.79,4626211.72
63,4383205.39,4626211.72
64,4383164.99,4626211.72
65,4383124.59,4626123.74
66,4383084.19,4626123.74
67,4383043.79,4626123.74
68,4383003.39,4626123.74
69,4382962.99,4626035.77
70,4382922.59,4625947.8
71,4382882.19,4625859.83
72,4382882.19,4625771.86
73,4382841.79,4625683.89
74,4382801.39,4625683.89
75,4382801.39,4625595.92
76,4382801.39,4625507.94
77,4382760.99,4625419.97
78,4382760.99,4625332
79,4382720.59,4625244.03
80,4382680.19,4625244.03
81,4382639.79,4625156.06
82,4382639.79,4625068.09
83,4382639.79,4624980.12
84,4382639.79,4624892.14
85,4382639.79,4624804.17
86,4382639.79,4624716.2
87,4382639.79,4624628.23
88,4382680.19,4624628.23
89,4382720.59,4624628.23
90,4382760.99,4624628.23
91,4382801.39,4624628.23
92,4382841.79,4624540.26
93,4382801.39,4624452.29
94,4382801.39,4624364.32
95,4382801.39,4624276.35
96,4382801.39,4624188.37
97,4382841.79,4624100.4
98,4382882.19,4624012.43
99,4382922.59,4624012.43
100,4382962.99,4623924.46
101,4383003.39,4623924.46
102,4383043.79,4623836.49
103,4383043.79,4623748.52
104,4383084.19,4623660.55
105,4383084.19,4623572.57
106,4383124.59,4623572.57
107,4383164.99,4623484.6
108,4383205.39,4623396.63
109,4383205.39,4623308.66
110,4383205.39,4623220.69
111,4383245.79,4623132.72
112,4383245.79,4623044.75
113,4383286.19,4622956.77
114,4383326.58,4622868.8
115,4383326.58,4622780.83
116,4383286.19,4622692.86
117,4383326.58,4622692.86
118,4383366.98,4622604.89
119,4383407.38,4622516.92
120,4383447.78,4622428.95
121,4383488.18,4622340.97
122,4383488.18,4622253
123,4383528.58,4622165.03
124,4383528.58,4622077.06
125,4383528.58,4621989.09
126,4383568.98,4621989.09
127,4383609.38,4621901.12
128,4383649.78,4621813.15
129,4383649.78,4621725.18
130,4383690.18,4621637.2
131,4383730.58,4621637.2
132,4383770.98,4621549.23
133,4383770.98,4621461.26
134,4383811.38,4621461.26
135,4383851.78,4621373.29
136,4383811.38,4621285.32
137,4383770.98,4621285.32
138,4383730.58,4621285.32
139,4383690.18,4621197.35
140,4383690.18,4621109.38
141,4383690.18,4621021.4
142,4383730.58,4620933.43
143,4383770.98,4620845.46
144,4383811.38,4620757.49
145,4383770.98,4620669.52
146,4383811.38,4620581.55
147,4383811.38,4620493.58
148,4383811.38,4620405.6
149,4383811.38,4620317.63
150,4383811.38,4620229.66
151,4383811.38,4620141.69
152,4383770.98,4620053.72
153,4383770.98,4619965.75
154,4383770.98,4619877.78
155,4383770.98,4619789.8
156,4383770.98,4619701.83
157,4383770.98,4619613.86
158,4383770.98,4619525.89
159,4383770.98,4619437.92
160,4383770.98,4619349.95
161,4383730.58,4619261.98
162,4383690.18,4619174.01
163,4383649.78,4619086.03
164,4383690.18,4618998.06
165,4383690.18,4618910.09
166,4383690.18,4618822.12
167,4383649.78,4618734.15
168,4383609.38,4618646.18
169,4383609.38,4618558.21
170,4383568.98,4618470.23
171,4383609.38,4618382.26
172,4383609.38,4618294.29
173,4383609.38,4618206.32
174,4383568.98,4618118.35
175,4383528.58,4618118.35
176,4383488.18,4618118.35
177,4383528.58,4618030.38
178,4383488.18,4617942.41
179,4383447.78,4617854.43
180,4383407.38,4617854.43
181,4383407.38,4617766.46
182,4383366.98,4617678.49
183,4383366.98,4617590.52
184,4383366.98,4617502.55
185,4383366.98,4617414.58
186,4383326.58,4617326.61
187,4383286.19,4617238.63
188,4383286.19,4617150.66
189,4383245.79,4617062.69
190,4383286.19,4616974.72
191,4383245.79,4616886.75
192,4383205.39,4616886.75
193,4383205.39,4616798.78
194,4383164.99,4616710.81
195,4383124.59,4616710.81
196,4383084.19,4616622.84
197,4383124.59,4616534.86
198,4383084.19,4616446.89
199,4383043.79,4616358.92
200,4383003.39,4616358.92
201,4382962.99,4616270.95
202,4382922.59,4616182.98
203,4382882.19,4616182.98
204,4382841.79,4616182.98
205,4382801.39,4616182.98
206,4382801.39,4616095.01
207,4382760.99,4616007.04
208,4382760.99,4615919.06
209,4382720.59,4615831.09
210,4382680.19,4615919.06
211,4382639.79,4615831.09
212,4382599.39,4615743.12
213,4382558.99,4615743.12
214,4382518.59,4615655.15
215,4382478.19,4615655.15
216,4382478.19,4615567.18
217,4382478.19,4615479.21
218,4382437.79,4615391.24
219,4382397.39,4615303.26
220,4382356.99,4615303.26
221,4382316.59,4615215.29
222,4382316.59,4615127.32
223,4382276.19,4615039.35
224,4382276.19,4614951.38
225,4382316.59,4614951.38
226,4382356.99,4614863.41
227,4382316.59,4614775.44
228,4382356.99,4614687.46
229,4382356.99,4614599.49
230,4382397.39,4614599.49
231,4382437.79,4614599.49
232,4382478.19,4614599.49
233,4382518.59,4614599.49
234,4382558.99,4614511.52
235,4382558.99,4614423.55
236,4382558.99,4614335.58
237,4382558.99,4614247.61
238,4382518.59,4614159.64
239,4382478.19,4614159.64
240,4382518.59,4614071.66
241,4382558.99,4613983.69
242,4382599.39,4614071.66
243,4382639.79,4614071.66
244,4382680.19,4614071.66
245,4382720.59,4614071.66
246,4382760.99,4613983.69
247,4382801.39,4613983.69
248,4382841.79,4613983.69
249,4382882.19,4614071.66
250,4382922.59,4614071.66
251,4382922.59,4614159.64
252,4382962.99,4614247.61
253,4383003.39,4614159.64
254,4383043.79,4614071.66
255,4383084.19,4614071.66
256,4383124.59,4613983.69
257,4383164.99,4614071.66
258,4383205.39,4613983.69
259,4383245.79,4613983.69
260,4383286.19,4613895.72
261,4383326.58,4613895.72
262,4383366.98,4613895.72
263,4383407.38,4613807.75
264,4383447.78,4613895.72
265,4383488.18,4613895.72
266,4383528.58,4613807.75
267,4383568.98,4613807.75
268,4383609.38,4613895.72
269,4383649.78,4613807.75
270,4383690.18,4613895.72
271,4383730.58,4613895.72
272,4383770.98,4613895.72
273,4383811.38,4613895.72
274,4383851.78,4613895.72
275,4383892.18,4613983.69
276,4383932.58,4613895.72
277,4383972.98,4613807.75
278,4384013.38,4613719.78
279,4384053.78,4613631.81
280,4384094.18,4613631.81
281,4384134.58,4613543.84
282,4384174.98,4613631.81
283,4384215.38,4613631.81
284,4384255.78,4613719.78
285,4384296.18,4613631.81
286,4384296.18,4613543.84
287,4384336.58,4613543.84
288,4384376.97,4613455.87
289,4384417.37,4613455.87
290,4384457.77,4613455.87
291,4384498.17,4613455.87
292,4384538.57,4613455.87
293,4384578.97,4613543.84
294,4384619.37,4613543.84
295,4384659.77,4613543.84
296,4384700.17,4613543.84
297,4384740.57,4613543.84
298,4384780.97,4613455.87
299,4384821.37,4613367.89
300,4384861.77,4613279.92
301,4384902.17,4613191.95
302,4384861.77,4613103.98
303,4384821.37,4613103.98
304,4384780.97,4613191.95
305,4384740.57,4613103.98
306,4384700.17,4613191.95
307,4384659.77,4613103.98
308,4384619.37,4613016.01
309,4384619.37,4612928.04
310,4384578.97,4612840.07
311,4384619.37,4612752.09
312,4384659.77,4612752.09
313,4384700.17,4612664.12
314,4384740.57,4612752.09
315,4384780.97,4612664.12
316,4384821.37,4612752.09
317,4384861.77,4612752.09
318,4384902.17,4612664.12
319,4384942.57,4612664.12
320,4384982.97,4612664.12
321,4385023.37,4612664.12
322,4385063.77,4612576.15
323,4385104.17,4612488.18
324,4385104.17,4612400.21
325,4385104.17,4612312.24
326,4385144.57,4612224.27
327,4385144.57,4612136.29
328,4385184.97,4612048.32
329,4385184.97,4611960.35
330,4385225.37,4611872.38
331,4385265.77,4611784.41
332,4385306.17,4611696.44
333,4385265.77,4611608.47
334,4385265.77,4611520.49
335,4385225.37,4611432.52
336,4385184.97,4611344.55
337,4385144.57,4611256.58
338,4385144.57,4611168.61
339,4385104.17,4611080.64
340,4385063.77,4610992.67
341,4385063.77,4610904.7
342,4385023.37,4610816.72
343,4384982.97,4610728.75
344,4384942.57,4610640.78
345,4384902.17,4610552.81
346,4384902.17,4610464.84
347,4384902.17,4610376.87
348,4384902.17,4610288.9
349,4384861.77,4610200.92
350,4384861.77,4610112.95
351,4384861.77,4610024.98
352,4384902.17,4609937.01
353,4384902.17,4609849.04
354,4384942.57,4609761.07
