map_number,well_id,lat_deg,lon_deg,x_km,y_km,K_ft_per_d,K_m_per_d,log_K,K_min_ft,K_max_ft,T_m2_per_d,aquifer_thickness_m,aquifer_thickness_ft,n_tests,USGS_class,class_id,aquifer,rho,A_rating,I_rating,D_rating,R_rating,S_rating,T_rating,C_rating,V_DRASTIC,sigma2_BLUE,I_Fisher,VI,logVI
1,MS_BP-03a,33.4206,-90.8357,701.2341,3700.0102,106,32.309,1.5093,58,160,1355.64,42.06,138,11,GRAVEL,3,MRVA,0.22,9,8,7,8,4,10,6,170,0.001275697,783.885495,133260.5341,11.80006139
2,MS_BP-03b,33.4206,-90.8357,701.2341,3700.0102,80,24.384,1.3871,38,126,1029.46,42.06,138,12,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
3,MS_BP-04a,33.2816,-90.8372,701.4147,3684.5925,156,47.549,1.6771,111,189,1996.3,42.06,138,14,GRAVEL,3,MRVA,0.22,9,8,7,8,4,10,8,176,0.001275697,783.885495,137963.8471,11.83474695
4,MS_BP-04b,33.2816,-90.8372,701.4147,3684.5925,65,19.812,1.2969,44,77,833.8,42.06,138,16,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
5,MS_OW-01,33.5931,-90.301,750.4651,3720.3067,199,60.655,1.7829,141,282,2563.75,42.37,139,12,GRAVEL_COARSE,4,MRVA,0.12,9,9,7,8,4,10,8,181,0.001174289,851.5788541,154135.7726,11.94558913
6,MS_OW-02,33.5972,-90.295,751.0102,3720.776,109,33.223,1.5214,90,139,1419.74,42.98,141,12,GRAVEL,3,MRVA,0.22,9,8,7,8,4,10,6,170,0.001275697,783.885495,133260.5341,11.80006139
7,MS-OW-03,33.5965,-90.301,750.4553,3720.6838,23,7.01,0.8457,15,27,298.78,42.37,139,12,SAND_FINE,1,MRVA,0.55,7,7,7,8,4,10,2,147,0.001593113,627.7020612,92272.203,11.43249822
8,MS-OW-04,33.5811,-90.3036,750.2585,3718.9694,90,27.432,1.4383,67,106,1175.59,42.98,141,12,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
9,MS_OW-05,33.6035,-90.2744,752.9039,3721.525,106,32.309,1.5093,92,128,1361.87,42.06,138,12,GRAVEL,3,MRVA,0.22,9,8,7,8,4,10,6,170,0.001275697,783.885495,133260.5341,11.80006139
10,MS_OW-06,33.603,-90.2708,753.2395,3721.4783,226,68.885,1.8381,147,307,2870.52,41.76,137,12,GRAVEL_COARSE,4,MRVA,0.12,9,9,7,8,4,10,8,181,0.001174289,851.5788541,154135.7726,11.94558913
11,MS_OW-08,33.603,-90.2651,753.7686,3721.4923,84,25.603,1.4083,49,118,1071.17,41.76,137,12,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
12,MS_OW-09,33.6059,-90.2707,753.2403,3721.8002,89,27.127,1.4334,54,121,1077.49,39.62,130,12,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
13,MS_OW-10,33.6001,-90.2715,753.183,3721.1549,80,24.384,1.3871,50,111,1014.97,41.76,137,8,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
14,MS_OW-12,33.6005,-90.2346,756.6069,3721.2902,5,1.524,0.183,4,6,61.87,39.93,131,12,CLAY_SILT,0,MRVA,0.72,4,3,7,8,4,10,1,115,0.001725596,579.5100269,66643.6531,11.10711509
15,MS_OW-13,33.5959,-90.3127,749.371,3720.589,103,31.394,1.4969,31,222,1297.3,41.15,135,12,GRAVEL,3,MRVA,0.22,9,8,7,8,4,10,6,170,0.001275697,783.885495,133260.5341,11.80006139
16,MS_OW-14,33.6087,-90.3068,749.8817,3722.023,190,57.912,1.7628,122,254,2343.11,40.54,133,12,GRAVEL_COARSE,4,MRVA,0.12,9,9,7,8,4,10,8,181,0.001174289,851.5788541,154135.7726,11.94558913
17,MS_QV-01a,33.6348,-90.4013,741.0386,3724.6935,144,43.891,1.6424,47,241,1832.23,41.76,137,16,GRAVEL,3,MRVA,0.22,9,8,7,8,4,10,8,176,0.001275697,783.885495,137963.8471,11.83474695
18,MS_SF-02a,33.6399,-90.5353,728.5931,3724.9547,90,27.432,1.4383,63,113,1030.94,37.8,124,12,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
19,MS_SF-02b,33.64,-90.5354,728.5835,3724.9656,67,20.422,1.3101,40,89,768.59,37.8,124,12,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
