Well_ID,X_GaussKruger,Y_GaussKruger,K_m_per_day,NO3_mg_per_L,DRASTIC_Index,Piezometric_Level_m,Infiltration,Lithology,Land_Use_Soil,Topography_slope_pct,Unsaturated_Zone,Inside_Aquifer
P3,4389697.79,4612715.34,200,2.21,150,24,NaN,Gravel - coarse-grained,Sandy silt,2 to 4,Aleurite,YES
P4,4386550.21,4613827.16,200,1.665,133,36,NaN,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
P6,4382843.54537465,4612331.65503175,200,4.1,123,43,NaN,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO
P9,4384858.9,4609785,150,3.97,130,40,NaN,Gravel - medium-grained,Clayey silt,0-2,Clay loam,NO
P12,4387178.14,4611065.86,50,8.155,139,25,NaN,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES
P13,4386590.16,4605699.13,50,4.315,131,35,NaN,Gravel - fine-grained,Dusty silt,0-2,Sandy clay loam,YES
P15,4382564.17,4605757.51,50,4.225,121,45,NaN,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO
P16,4382842.68,4618852.04,200,4.6,127,14,NaN,Gravel - coarse-grained,Sandy silt,2 to 4,Dusty sand_aleurite,NO
P17,4388660.46,4610529.71000001,200,2.1,140,25,NaN,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES
P19,4398876.2,4578903.74,130,5.4,189,4,NaN,Gravel - coarse-grained,Absent,0-2,Dusty sand,YES
P20,4391881.35,4586409.81,100,12.55,134,20,NaN,Gravel - medium-grained,Sandy silt,2 to 4,Sandy clay loam,YES
P21,4390133.64,4594648.17,100,8.54,134,32,NaN,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
R8,4394166,4583209,130,7.05825359999997,161,10,NaN,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES
R11,4391794,4584444,70,3.71638539999997,151,7,NaN,Gravel - medium-grained,Dusty silt,0-2,Aleurite,NO
R12,4394311,4585283,100,4.15,141,20,NaN,Gravel - medium-grained,Sandy silt,0-2,Aleurite,YES
R13,4391812,4585733,100,22.27,134,20,NaN,Gravel - medium-grained,Sandy silt,0-2,Aleurite,YES
R16,4391407,4589527,100,24.74,129,26,NaN,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES
A3,4390000,4616000,200,3.1,163,14,NaN,Gravel - coarse-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES
A4,4388850,4612900,200,1.4,141,26,NaN,Gravel - coarse-grained,Dusty silt,0-2,Sandy clay loam,YES
A10,4389600,4610750,200,3.4,145,25,NaN,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES
A11,4386700,4606500,50,5.3,131,30,NaN,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
A12,4391862.35,4589715.158,100,1.38,132,26,NaN,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES
A13,4388250,4600950,100,5,142,25,NaN,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
A14,4398550,4577900,130,15,189,4,NaN,Gravel - coarse-grained,Thin,0-2,Dusty sand,YES
A15,4399514.22138261,4576933.07298282,130,20,182,6,NaN,Gravel - coarse-grained,Absent,2 to 4,Dusty sand,NO
A16,4387000,4596200,100,1.81,132,65,NaN,Gravel - medium-grained,Dusty silt,2 to 4,Sandy clay loam,NO
A17,4390300,4593100,100,5.98,139,25,NaN,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
A18,4394400,4587250,50,4.15,138,15,NaN,Gravel - coarse-grained,Sandy silt,2 to 4,Aleurite,YES
A21,4396050,4581000,130,15.2,184,6,NaN,Gravel - coarse-grained,Thin,0-2,Dusty sand_aleurite,YES
A23,4384400,4606100,50,3.72,121,45,NaN,Gravel - fine-grained,Clayey silt,0-2,Clay loam,YES
A25,4388300,4607000,50,6.7,143,25,NaN,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES
