Well_ID,X_GaussKruger,Y_GaussKruger,K_m_per_day,NO3_mg_per_L,DRASTIC_Index,Piezometric_Level_m,Infiltration,Lithology,Land_Use_Soil,Topography_slope_pct,Unsaturated_Zone,Inside_Aquifer
P3,4389697.79,4612715.34,200,2.21,150,24,,Gravel - coarse-grained,Sandy silt,2 to 4,Aleurite,YES
P4,4386550.21,4613827.16,200,1.665,133,36,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
P5,4384832.87,4613341.22,200,,126,38,,Gravel - medium-grained,Clayey silt,0-2,Clay loam,NO
P6,4382843.54537465,4612331.65503175,200,4.1,123,43,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO
P8,4384512.65,4612007.76,200,,123,40,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO
P9,4384858.9,4609785,150,3.97,130,40,,Gravel - medium-grained,Clayey silt,0-2,Clay loam,NO
P10,4385772.54,4611141.77,200,,128,37,,Gravel - medium-grained,Dusty silt,0-2,Clay loam,YES
P12,4387178.14,4611065.86,50,8.155,139,25,,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES
P13,4386590.16,4605699.13,50,4.315,131,35,,Gravel - fine-grained,Dusty silt,0-2,Sandy clay loam,YES
P15,4382564.17,4605757.51,50,4.225,121,45,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO
P16,4382842.68,4618852.04,200,4.6,127,14,,Gravel - coarse-grained,Sandy silt,2 to 4,Dusty sand_aleurite,NO
P17,4388660.46,4610529.71000001,200,2.1,140,25,,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES
P19,4398876.2,4578903.74,130,5.4,189,4,,Gravel - coarse-grained,Absent,0-2,Dusty sand,YES
P20,4391881.35,4586409.81,100,12.55,134,20,,Gravel - medium-grained,Sandy silt,2 to 4,Sandy clay loam,YES
P21,4390133.64,4594648.17,100,8.54,134,32,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES
R8,4394166,4583209,130,7.05825359999997,161,10,,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES
R11,4391794,4584444,70,3.71638539999997,151,7,,Gravel - medium-grained,Dusty silt,0-2,Aleurite,NO
